No.,Time,Source,Destination,Protocol,Length,Win
356,14.40366,10.0.0.2,10.0.0.1,TCP,78,170496
357,14.879065,10.0.0.1,10.0.0.2,TCP,1514,29696
358,15.029797,10.0.0.2,10.0.0.1,TCP,78,170496
359,15.093117,10.0.0.1,10.0.0.2,TCP,1514,29696
360,15.244352,10.0.0.2,10.0.0.1,TCP,78,170496
361,15.306595,10.0.0.1,10.0.0.2,TCP,1514,29696
362,15.457435,10.0.0.2,10.0.0.1,TCP,78,170496
363,15.506157,10.0.0.1,10.0.0.2,TCP,1514,29696
364,15.657518,10.0.0.2,10.0.0.1,TCP,66,170496
365,15.719762,10.0.0.1,10.0.0.2,TCP,1514,29696
366,15.731868,10.0.0.1,10.0.0.2,TCP,1514,29696
367,15.870204,10.0.0.2,10.0.0.1,TCP,66,170496
368,15.882258,10.0.0.2,10.0.0.1,TCP,78,170496
369,15.932447,10.0.0.1,10.0.0.2,TCP,1514,29696
370,15.944592,10.0.0.1,10.0.0.2,TCP,1514,29696
371,16.082838,10.0.0.2,10.0.0.1,TCP,78,170496
372,16.096054,10.0.0.2,10.0.0.1,TCP,78,170496
373,16.135126,10.0.0.1,10.0.0.2,TCP,1514,29696
374,16.158292,10.0.0.1,10.0.0.2,TCP,1514,29696
375,16.286413,10.0.0.2,10.0.0.1,TCP,66,170496
376,16.309532,10.0.0.2,10.0.0.1,TCP,66,170496
377,16.348647,10.0.0.1,10.0.0.2,TCP,1514,29696
378,16.372535,10.0.0.1,10.0.0.2,TCP,1514,29696
379,16.383897,10.0.0.1,10.0.0.2,TCP,1514,29696
380,16.499084,10.0.0.2,10.0.0.1,TCP,66,170496
381,16.523853,10.0.0.2,10.0.0.1,TCP,66,170496
382,16.53487,10.0.0.2,10.0.0.1,TCP,66,170496
383,16.561333,10.0.0.1,10.0.0.2,TCP,1514,29696
384,16.586103,10.0.0.1,10.0.0.2,TCP,1514,29696
385,16.598973,10.0.0.1,10.0.0.2,TCP,1514,29696
386,16.711746,10.0.0.2,10.0.0.1,TCP,66,170496
387,16.736514,10.0.0.2,10.0.0.1,TCP,66,170496
388,16.750322,10.0.0.2,10.0.0.1,TCP,66,170496
389,16.773984,10.0.0.1,10.0.0.2,TCP,1514,29696
390,16.798745,10.0.0.1,10.0.0.2,TCP,1514,29696
391,16.824691,10.0.0.1,10.0.0.2,TCP,2962,29696
392,16.925328,10.0.0.2,10.0.0.1,TCP,66,170496
393,16.950631,10.0.0.2,10.0.0.1,TCP,66,170496
394,16.976678,10.0.0.2,10.0.0.1,TCP,66,170496
395,16.987578,10.0.0.1,10.0.0.2,TCP,1514,29696
396,17.012881,10.0.0.1,10.0.0.2,TCP,1514,29696
397,17.051893,10.0.0.1,10.0.0.2,TCP,2962,29696
398,17.137981,10.0.0.2,10.0.0.1,TCP,66,170496
399,17.163379,10.0.0.2,10.0.0.1,TCP,66,170496
400,17.201118,10.0.0.1,10.0.0.2,TCP,1514,29696
401,17.203813,10.0.0.2,10.0.0.1,TCP,66,170496
402,17.226548,10.0.0.1,10.0.0.2,TCP,1514,29696
403,17.278188,10.0.0.1,10.0.0.2,TCP,2962,29696
404,17.351505,10.0.0.2,10.0.0.1,TCP,66,170496
405,17.414011,10.0.0.1,10.0.0.2,TCP,1514,29696
